id,created_on,property_type,lat,lon,place_name,state_name,surface_total_in_m2,surface_covered_in_m2,description,floor,rooms,expenses
3632,146534400.0,1,-34.6109877599,-58.3634635778,405,4,146.010869565,146.010869565,0.7,1.0,1.0,10414.5227273
3633,146620800.0,1,0.0,0.0,158,3,0.0,0.0,0.7,1.0,1.0,0.0
2263404,144547200.0,1,-34.5893633232,-58.4128798588,383,4,53.0,48.0,0.7,1.0,1.0,1500.0
2263405,144547200.0,1,-34.5871148424,-58.4489677463,172,4,39.0,39.0,0.7,1.0,1.0,15815.5737705
2263406,144547200.0,1,-34.5871148424,-58.4489677463,172,4,51.0,51.0,0.7,1.0,1.0,15815.5737705
2263407,144547200.0,1,-34.5871148424,-58.4489677463,172,4,39.0,39.0,0.7,1.0,1.0,15815.5737705
2263408,144547200.0,1,-34.5871148424,-58.4489677463,172,4,39.0,39.0,0.7,1.0,1.0,15815.5737705
2263409,144547200.0,1,-34.5871148424,-58.4489677463,172,4,39.0,39.0,0.7,1.0,1.0,15815.5737705
2263410,144547200.0,1,-34.5787213694,-58.4570952614,183,4,67.0,67.0,0.7,1.0,1.0,2600.0
2263411,144547200.0,1,-34.6077626001,-58.4210449536,15,4,47.0,47.0,0.7,1.0,1.0,21980.0661871
2263412,144547200.0,1,-34.6077626001,-58.4210449536,15,4,47.0,47.0,0.7,1.0,1.0,21980.0661871
2263413,144547200.0,1,-34.6077626001,-58.4210449536,15,4,47.0,47.0,0.7,1.0,1.0,21980.0661871
2263415,144547200.0,1,-34.612086493,-58.366017622,405,4,64.0,64.0,0.7,1.0,1.0,10414.5227273
2263416,144547200.0,1,-34.5622109457,-58.4425154169,139,4,160.0,160.0,0.7,1.0,1.0,48194.9186603
2263417,144547200.0,1,-34.5986444875,-58.4396139391,500,4,39.0,39.0,0.7,1.0,1.0,15697.1939292
2263418,144547200.0,1,-34.5986444875,-58.4396139391,500,4,39.0,39.0,0.7,1.0,1.0,15697.1939292
2263419,144547200.0,1,-34.5986444875,-58.4396139391,500,4,39.0,39.0,0.7,1.0,1.0,15697.1939292
2263420,144547200.0,1,-34.5986444875,-58.4396139391,500,4,39.0,39.0,0.7,1.0,1.0,15697.1939292
2263421,144547200.0,1,-34.5986444875,-58.4396139391,500,4,39.0,39.0,0.7,1.0,1.0,15697.1939292
2263422,144547200.0,1,-34.5986444875,-58.4396139391,500,4,39.0,39.0,0.7,1.0,1.0,15697.1939292
